trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.58764954873693,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.88299415296092,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,5,-103.63968184707477,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,8,-40.924162098249894,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,10,-68.43770535608618,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.45463563763059,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.26264121391512,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.36230295910275,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.71761274037634,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.84386664921536,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.26162262458327,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.10442567082802,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.71614855474672,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9999999999999998}",25,0,-82.00492442758157,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9999999999999993}",30,0,-174.38135678149854,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9999999999999982}",20,0,-91.81840822695268,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9999999999999953}",30,0,-106.13455650925891,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9999999999999873}",25,0,-178.77780264163357,"{0: 15, 1: 1, 2: 3, 3: 4, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9999999999999656}",20,0,-49.06823816112246,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9999999999999065}",25,0,-162.2915371987887,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9999999999997455}",25,0,-53.521564470393756,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9999999999993086}",30,0,-97.39148655771403,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9999999999981204}",20,0,-54.05691381484342,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.999999999994891}",25,0,-150.32672554040903,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.999999999986112}",20,0,-141.7066003970142,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9999999999622486}",25,0,-263.9842657962181,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.9999999998973812}",30,0,-150.60763268929048,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9999999997210531}",20,0,0.5292165137620892,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9999999992417439}",30,14,-7.932068624854346,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.9999999979388463}",25,0,-120.5671815514456,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9999999943972036}",25,0,-84.98080431594644,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9999999847700205}",25,0,-165.0965905500285,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9999999586006244}",20,0,-120.26235995061447,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9999998874648379}",20,0,-62.89494715948101,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.999999694097773}",20,0,-193.2407525893051,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.9999991684719722}",25,5,-65.01714131747867,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.999997739675702}",20,0,-87.69450576009163,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9999938558253978}",30,0,-190.4952928677377,"{0: 17, 1: 6, 2: 2, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.999983298578152}",20,0,-102.99623034128436,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9999546021312976}",30,0,-89.02358040174336,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9998766054240137}",20,0,-131.79163701061972,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9996646498695336}",20,10,-80.68983752600371,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.9990889488055994}",20,0,-92.59522386097886,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9975273768433653}",20,0,-49.217659285654875,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9933071490757153}",20,0,-107.86404379961989,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9820137900379085}",30,0,-116.64460906982643,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9525741268224334}",35,0,-257.36791660456305,"{0: 20, 1: 1, 2: 9, 3: 1, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.8807970779778823}",30,0,-87.21495513479832,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7310585786300049}",20,0,-74.76314879833959,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.5}",30,9,-49.80653601634469,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.2689414213699951}",20,13,12.918014867127399,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.11920292202211755}",20,6,24.884614099739785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.04742587317756678}",20,12,13.749074208793852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
