trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.4005456508271,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.69566172132313,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.632247122335194,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.90137668231185,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.51862320816986,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.48430450635306,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.63153587307256,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,3,-64.18366827787003,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,2,-134.7009150922729,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.10424984087139,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.59713417250049,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,15,9.589144148794372,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.33044343840227,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.72532931091638,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.0494774285868,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.46430104326788,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.78916977019983,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.00734456805861,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.52991772326523,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.98248708749517,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.3304549672918,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-26.211927183685855,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-123.40730654395037,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,6,-16.225265398154082,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.36038658923914,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.8696473223685,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.473447424072475,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.51414109770852,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.26834748316362,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.62422665107118,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
